"Curso","Asignatura","Codigo","Fisico","Online","Creditos","Tipo","Departamento","Vigencia","Cod Plan","Titulacion","Cod Centro","Centro","Annyo","Fecha"
"1","Gestión Integrada de Operaciones en Sistemas Productivos y de Servicios","51630006","SI","SI","","OPTATIVA","","","M163","Máster Universitario en Organización Industrial y Gestión de Empresas","45","E.T.S. de Ingeniería","Curso 2023-24","20231113"
"1","Pruebas de Software Avanzadas","51790024","SI","SI","","OPTATIVA","","","M179","M.U.en Ingeniería del Software: Cloud, Datos y Gestión de las Tecnologías","302","Escuela Internacional de Posgrado","Curso 2022-23",""
"1","Introducción Histórica al Derecho Romano","1550010","SI","SI","","OBLIGATORIA","","","155","Grado en Derecho","20","Facultad de Derecho","Curso 2023-24","20231005"
"2","Derecho Penal. Parte Especial I","1550017","SI","SI","","OBLIGATORIA","","","155","Grado en Derecho","20","Facultad de Derecho","Curso 2023-24","20231006"
"1","Electrocatálisis","52050010","","","","OPTATIVA","","","M205","M.U.en Electroquímica.Ciencia y Tecnología UAB-UAM-UA-UB-UBU-UCO-UM-US-UPCT","302","Escuela Internacional de Posgrado","",""
"1","Estrategias de Planificación en Intermodalidad","52090003","","","","OPTATIVA","","","M209","Máster Universitario en Logística y Gestión de Operaciones (UNIA-UCA-US)","302","Escuela Internacional de Posgrado","",""
"4","Instrumentación Electrónica","2030089","SI","NO","","OPTATIVA","","","203","Grado en Ingeniería de Tecnologías Industriales","45","E.T.S. de Ingeniería","Curso 2023-24","20231002"
"4","Metodología e Historia de la Ingeniería","2080063","SI","SI","","OPTATIVA","","","208","Grado en Ingeniería Química","45","E.T.S. de Ingeniería","Curso 2023-24","20240115"
"1","Sistemas Integrados de Fabricación","51970026","SI","SI","","OBLIGATORIA","","","M197","Doble M.U. en Ingeniería Industrial y en Sistemas de Energía Eléctrica","45","E.T.S. de Ingeniería","Curso 2023-24","20231103"
"1","Dirección y Gestión Tecnológica de Proyectos","52040003","SI","SI","","OBLIGATORIA","","","M204","Máster Universitario en Ingeniería de Telecomunicación (Plan 2021)","45","E.T.S. de Ingeniería","Curso 2023-24","20231213"
"2","Soporte Vital","1570018","SI","NO","","TRONCAL / FORMACIÓN BÁSICA","","","157","Grado en Enfermería","11","Facultad de Enfermería, Fisioterapia y Podología","Curso 2021-22","20180103"
"2","Contabilidad Financiera II","2200020","SI","SI","","OBLIGATORIA","","","220","Doble Grado en Finanzas y Contabilidad y Relac. Laborales y Recurs. Humanos","7","Facultad de Turismo y Finanzas","Curso 2023-24","20240304"
"2","Introducción al Derecho Procesal","2290021","SI","NO","","TRONCAL / FORMACIÓN BÁSICA","","","229","Doble Grado en Derecho y en Finanzas y Contabilidad","20","Facultad de Derecho","Curso 2023-24","20231025"
"1","Dianas útiles en la Terapia Oncológica. Modelos Experimentales de Cáncer","51270042","SI","NO","","OPTATIVA","","","M127","Máster Unv. en Investigación Médica: Clínica y Experimental","14","Facultad de Medicina","Curso 2021-22","20211215"
"4","Intervención de Fisioterapia en la Comunidad y Gestión en Fisioterapia","2450082","NO","NO","","OBLIGATORIA","","","245","Doble Grado en Fisioterapia y Ciencias de la Actividad Física y del Deporte","11","Facultad de Enfermería, Fisioterapia y Podología","Curso 2021-22","20211215"
"1","Negociación","51910018","SI","SI","","OPTATIVA","","","M191","Doble M.U. en Ciencias del Trabajo y en Gestión y Desarrollo de los RRHH","8","Facultad de Ciencias del Trabajo","Curso 2023-24","20240126"
"3","Derecho Internacional Público","2500033","SI","SI","","OBLIGATORIA","","","250","Doble Grado en Derecho y en Filosofía","20","Facultad de Derecho","Curso 2023-24","20231204"
"2","Fonética y Fonología Francesas","1820016","SI","NO","","OBLIGATORIA","","","182","Grado en Estudios Franceses","16","Facultad de Filología","Curso 2019-20","20200508"
"3","Biomecánica I: Sólidos","2260029","SI","SI","","OPTATIVA","","","226","Grado en Ingeniería de la Salud por la Univ. de Málaga y la Univ.de Sevilla","3","E.T.S. Ingeniería Informática","Curso 2021-22","20211215"
"2","Desarrollo de Habilidades Lingüísticas y su Didáctica en Educación Primaria","1950012","SI","SI","","OBLIGATORIA","","","195","Grado en Educación Primaria","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200420"
"4","Mecánica Cuántica Relativista (FAMN)","2400075","SI","SI","","OPTATIVA","","","240","Doble Grado en Física y Matemáticas","6","Facultad de Física","Curso 2023-24","20240425"
"5","Metodología de la Enseñanza de la Lengua y la Literatura Italiana","2390110","","","","OPTATIVA","","","239","Doble Grado en Filología Clásica y Filología Hispánica","16","Facultad de Filología","",""
"1","Matemáticas II","2270004","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","227","Grado en Ingeniería de Organización Industrial por la U. Málaga y U.Sevilla","45","E.T.S. de Ingeniería","Curso 2023-24","20240131"
"2","Resistencia de Materiales y Estructura del Producto","2020015","SI","SI","","OBLIGATORIA","","","202","Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto","23","Escuela Politécnica Superior","Curso 2023-24","20231003"
"2","Matemáticas IV","2070018","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","207","Grado en Ingeniería Mecánica","23","Escuela Politécnica Superior","Curso 2023-24","20231004"
"1","Biología","2480001","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","248","Grado en Farmacia (2019)","19","Facultad de Farmacia","Curso 2023-24","20240219"
"1","Ingeniería de la Contaminación Atmosférica","51830010","SI","SI","","OBLIGATORIA","","","M183","Máster Universitario en Ingeniería Ambiental (2018)","45","E.T.S. de Ingeniería","Curso 2023-24","20231108"
"5","Elementos Finitos en Ingeniería de Estructuras","2140054","SI","SI","","OBLIGATORIA","","","214","Doble Grado en Ing.en Diseño Ind.y Desarrollo del Producto e Ing. Mecánica","23","Escuela Politécnica Superior","Curso 2023-24","20231011"
"1","Física I","2150002","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","215","Doble Grado en Ingeniería Eléctrica e Ingeniería Electrónica Industrial","23","Escuela Politécnica Superior","Curso 2023-24","20231004"
"1","Centro de Proceso de Datos","51790001","SI","SI","","OPTATIVA","","","M179","M.U.en Ingeniería del Software: Cloud, Datos y Gestión de las Tecnologías","302","Escuela Internacional de Posgrado","",""
"1","Física de Aceleradores (SDP)","52000032","","","","OPTATIVA","","","M200","M.U. Erasmus Mundus en Física Nuclear (USE-UAM-UCM-UB-UCBN-SDP-SCAT)","302","Escuela Internacional de Posgrado","",""
"1","Conversión Fotovoltaica y Fotoelectroquímica","52050008","","","","OPTATIVA","","","M205","M.U.en Electroquímica.Ciencia y Tecnología UAB-UAM-UA-UB-UBU-UCO-UM-US-UPCT","302","Escuela Internacional de Posgrado","",""
"5","Federalismo: Estado Autonómico y Unión Europea","1870066","SI","NO","","OPTATIVA","","","187","Doble Grado en Derecho y Gestión y Administración Pública","20","Facultad de Derecho","Curso 2023-24","20240109"
"1","Sistemas Electrónicos para Gestión de Energías Renovables","52210142","","","","OPTATIVA","","","M221","Máster Universitario en Ingeniería Industrial (2024)","45","E.T.S. de Ingeniería","",""
"1","Simulación Avanzada de Procesos Químicos","51990015","SI","SI","","OBLIGATORIA","","","M199","Doble Máster Universitario en Ingeniería Química y en Ingeniería Ambiental","45","E.T.S. de Ingeniería","Curso 2023-24","20231128"
"1","Tecnología de Máquinas","52210046","","","","OPTATIVA","","","M221","Máster Universitario en Ingeniería Industrial (2024)","45","E.T.S. de Ingeniería","",""
"1","Las Relaciones Privadas con Elemento Extranjero ante los Tribunales Españoles","51290009","SI","SI","","OPTATIVA","","","M129","Doble M.U.en Abogacía y Asesoría Jurídico-Mercantil, Fiscal y Laboral","20","Facultad de Derecho","Curso 2023-24","20231108"
"1","Fundamentación y Argumentación Jurídica","51300008","NO","NO","","OBLIGATORIA","","","M130","Doble Máster Universitario en Abogacía y Derecho Público","20","Facultad de Derecho","N","N"
"2","Economía del Trabajo","2200017","SI","SI","","OBLIGATORIA","","","220","Doble Grado en Finanzas y Contabilidad y Relac. Laborales y Recurs. Humanos","8","Facultad de Ciencias del Trabajo","Curso 2023-24","20231219"
"3","Introducción a las TIGs: Cartografía, Fotointerpretación, Informática y SIGs","2570038","","","","OBLIGATORIA","","","257","Doble Grado en Geografía y Gestión del Territorio e Historia (2024)","4","Facultad de Geografía e Historia","",""
"5","Fisioterapia Manipulativa","2450078","","NO","","OBLIGATORIA","","","245","Doble Grado en Fisioterapia y Ciencias de la Actividad Física y del Deporte","11","Facultad de Enfermería, Fisioterapia y Podología","Curso 2021-22","20211215"
"1","Generación de Mensajes para la Comunicación Social","52100009","NO","NO","","OPTATIVA","","","M210","Máster Universitario en Publicidad y Gestión de Contenidos","2","Facultad de Comunicación","Curso 2022-23","20221110"
"1","Interpretación Histórica y Musealización","52190004","","","","OBLIGATORIA","","","M219","Máster Universitario en Arquitectura y Patrimonio Histórico (2023)","15","E.T.S. de Arquitectura","",""
"4","Tecnología, Informática y Sociedad","2040037","SI","SI","","OPTATIVA","","","204","Grado en Ingeniería Informática-Ingeniería de Computadores","3","E.T.S. Ingeniería Informática","Curso 2021-22","20151013"
"1","Aspectos Prácticos de la Participación de los Trabajadores en la Empresa","51770002","SI","SI","","OPTATIVA","","","M177","Máster Universitario en Gestión y Desarrollo de Recursos Humanos","8","Facultad de Ciencias del Trabajo","Curso 2023-24","20240124"
"1","Análisis Numérico de Ecuaciones Diferenciales","51760004","SI","SI","","OPTATIVA","","","M176","Doble M.U. Profesorado Educ.Secund.Oblig.y Bach, FP y EI y en Matemáticas","17","Facultad de Matemáticas","Curso 2022-23","20200212"
"1","Procesos Psicológicos en Personas Mayores","51380030","SI","NO","","OPTATIVA","","","M138","Máster Universitario en Psicopedagogía","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200420"
"1","Modelos de Comprensión Antropológica en el Auge y Crisis del Proyecto Ilustrado","51150006","SI","SI","","OBLIGATORIA","","","M115","Máster Universitario en Filosofía y Cultura Moderna","12","Facultad de Filosofía","Curso 2021-22","20201005"
"4","Teoría de Códigos y Criptografía","2470070","SI","","","OPTATIVA","","","247","Doble Grado Ingeniería Informática-Tecnologías Informáticas y Matemáticas","17","Facultad de Matemáticas","Curso 2022-23",""
"4","Psicología de los Recursos Humanos","1760044","SI","SI","","OPTATIVA","","","176","Grado en Psicología","13","Facultad de Psicología","Curso 2021-22","20211015"
"1","Aplicaciones y Discusiones en Desarrollo Animal","52030004","NO","NO","","OPTATIVA","","","M203","Máster Universitario en Análisis de Datos Ómicos y Biología de Sistemas","5","Facultad de Biología","Curso 2023-24","20240528"
"1","Habilidades y Recursos Personales del Profesional de la Psicología General Sanitaria","51410003","SI","SI","","OBLIGATORIA","","","M141","Máster Universitario en Psicología General Sanitaria","13","Facultad de Psicología","Curso 2021-22","20201107"
"5","Medicina Legal","1720047","SI","SI","","OBLIGATORIA","","","172","Grado en Medicina","14","Facultad de Medicina","Curso 2021-22","20211215"
"3","Patología Médica de las Enfermedades Infecciosas y del Sistema Inmune. Atención Primaria.","1720029","SI","SI","","OBLIGATORIA","","","172","Grado en Medicina","14","Facultad de Medicina","Curso 2021-22","20211215"
"1","Matemáticas I","2320006","NO","NO","","TRONCAL / FORMACIÓN BÁSICA","","","232","Doble Grado en Química y en Ingeniería de Materiales","6","Facultad de Física","Curso 2023-24","20240307"
"4","Materiales Metálicos","2320034","SI","SI","","OBLIGATORIA","","","232","Doble Grado en Química y en Ingeniería de Materiales","6","Facultad de Física","Curso 2022-23","20230322"
"2","Enseñanza de los Fundamentos de los Deportes 4","2550022","","","","OBLIGATORIA","","","255","Doble Grado en Fisioterapia y Ciencias de la Actividad Física y del Deporte","18","Facultad de Ciencias de la Educación","",""
"1","Expresión Gráfica","2090001","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","209","Grado en Ingeniería Química Industrial","23","Escuela Politécnica Superior","Curso 2023-24","20231005"
"1","Informática","2140004","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","214","Doble Grado en Ing.en Diseño Ind.y Desarrollo del Producto e Ing. Mecánica","23","Escuela Politécnica Superior","Curso 2023-24","20231011"
"4","Ingeniería de Control","1990052","SI","SI","","OPTATIVA","","","199","Grado en Ingeniería de las Tecnologías de Telecomunicación","45","E.T.S. de Ingeniería","Curso 2023-24","20231019"
"4","Derecho Internacional Privado","1550035","SI","SI","","OBLIGATORIA","","","155","Grado en Derecho","20","Facultad de Derecho","Curso 2023-24","20231030"
"3","Metodologías de Investigación en Comunicación","2430089","SI","SI","","OBLIGATORIA","","","243","Doble Grado en Periodismo y Comunicación Audiovisual (2016)","2","Facultad de Comunicación","Curso 2019-20","20200421"
"1","Urbanismo, Ordenación del Territorio y Turismo Sostenible","50630036","SI","SI","","OPTATIVA","","","M063","Máster Universitario en Dirección y Planificación del Turismo","7","Facultad de Turismo y Finanzas","Curso 2023-24","20240209"
"4","Fisioterapia en Especialidades Clínicas II","2450074","SI","NO","","OBLIGATORIA","","","245","Doble Grado en Fisioterapia y Ciencias de la Actividad Física y del Deporte","11","Facultad de Enfermería, Fisioterapia y Podología","Curso 2021-22","20211215"
"4","Planificación y Gestión de Proyectos Informáticos","2040033","SI","SI","","OBLIGATORIA","","","204","Grado en Ingeniería Informática-Ingeniería de Computadores","3","E.T.S. Ingeniería Informática","Curso 2021-22","20151013"
"1","Régimen Jurídico del Proceso de Colocación","51910023","SI","NO","","OPTATIVA","","","M191","Doble M.U. en Ciencias del Trabajo y en Gestión y Desarrollo de los RRHH","8","Facultad de Ciencias del Trabajo","Curso 2022-23","20221207"
"1","Podología Pediátrica","52140032","","","","OPTATIVA","","","M214","Máster Un.en Nuevas Tendencias Asistenciales y de Investigación en CC.Salud","11","Facultad de Enfermería, Fisioterapia y Podología","",""
"4","Filosofía de la Religión y Teodicea","2500063","","","","OPTATIVA","","","250","Doble Grado en Derecho y en Filosofía","12","Facultad de Filosofía","",""
"1","Fundamentos de Genética","2240008","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","224","Grado en Bioquímica por la Universidad de Sevilla y Universidad de Málaga","5","Facultad de Biología","Curso 2023-24","20240528"
"4","Electromagnetismo Aplicado","1620028","SI","SI","","OPTATIVA","","","162","Grado en Física","6","Facultad de Física","Curso 2023-24","20240425"
"1","Gestión, Diseño y Comercialización de Sistemas Informáticos","51800009","NO","NO","","OBLIGATORIA","","","M180","Máster Universitario en Ingeniería Informática","3","E.T.S. Ingeniería Informática","",""
"1","Gestión Organizacional y Liderazgo","51880006","NO","NO","","OPTATIVA","","","M188","Máster Universitario en Ingeniería Biomédica y Salud Digital","3","E.T.S. Ingeniería Informática","",""
"5","Conservación y Restauración de Bienes Culturales","2310051","SI","SI","","OPTATIVA","","","231","Doble Grado en Física y en Ingeniería de Materiales","6","Facultad de Física","Curso 2023-24","20240425"
"1","Introducción Histórica al Derecho Romano","1860012","SI","NO","","OBLIGATORIA","","","186","Doble Grado en Administración y Dirección de Empresas y en Derecho","20","Facultad de Derecho","Curso 2023-24","20231009"
"1","Fundición Artística","50520017","SI","NO","","OPTATIVA","","","M052","Máster Universitario en Arte: Idea y Producción","21","Facultad de Bellas Artes","Curso 2023-24","20231031"
"1","Mecanismos de Control para la Intervención de los Bienes Culturales","52160015","SI","SI","","OPTATIVA","","","M216","Máster Universitario en Conservación de Bienes Culturales (US-UHU)","21","Facultad de Bellas Artes","Curso 2023-24","20231027"
"1","Óptica Geométrica","2230006","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","223","Grado en Óptica y Optometría","19","Facultad de Farmacia","Curso 2023-24","20240219"
"4","Instalaciones Eléctricas II","2130042","SI","SI","","OBLIGATORIA","","","213","Doble Grado en Ingeniería Eléctrica e Ingeniería Mecánica","23","Escuela Politécnica Superior","Curso 2023-24","20231006"
"4","Estructuras Aeroportuarias II","1970050","SI","SI","","OPTATIVA","","","197","Grado en Ingeniería Aeroespacial","45","E.T.S. de Ingeniería","Curso 2023-24","20231006"
"1","Generación Eléctrica Renovable","51640006","NO","NO","","OBLIGATORIA","","","M164","Máster Universitario en Sistemas de Energía Eléctrica","45","E.T.S. de Ingeniería","Curso 2017-18","20180104"
"1","Mecanismos Moleculares y Fisiopatología de las Enfermedades Respiratorias y otras Patologías Sistémi","51610012","NO","NO","","OPTATIVA","","","M161","Máster Universitario en Investigación Biomédica","302","Escuela Internacional de Posgrado","N","N"
"1","Introducción a Técnicas de Biología Molecular","51610023","NO","NO","","OPTATIVA","","","M161","Máster Universitario en Investigación Biomédica","302","Escuela Internacional de Posgrado","",""
"2","Óptica Fisiológica","2490022","SI","NO","","OBLIGATORIA","","","249","Doble Grado en Farmacia y en Óptica y Optometría (2019)","19","Facultad de Farmacia","Curso 2023-24","20240219"
"4","Sistemas Electrónicos Avanzados","2030152","SI","SI","","OPTATIVA","","","203","Grado en Ingeniería de Tecnologías Industriales","45","E.T.S. de Ingeniería","Curso 2023-24","20240126"
"1","Optimización de Sistemas Logísticos y Redes de Distribución","52090016","","","","OBLIGATORIA","","","M209","Máster Universitario en Logística y Gestión de Operaciones (UNIA-UCA-US)","302","Escuela Internacional de Posgrado","",""
"3","Fundamentos de Ingeniería Química","2030026","SI","SI","","OPTATIVA","","","203","Grado en Ingeniería de Tecnologías Industriales","45","E.T.S. de Ingeniería","Curso 2023-24","20230928"
"1","Diseño de Plantas de Tratamiento de Aguas","51990003","SI","SI","","OBLIGATORIA","","","M199","Doble Máster Universitario en Ingeniería Química y en Ingeniería Ambiental","45","E.T.S. de Ingeniería","Curso 2023-24","20231128"
"1","Automatización y Control de Sistemas de Producción","51970005","SI","SI","","OBLIGATORIA","","","M197","Doble M.U. en Ingeniería Industrial y en Sistemas de Energía Eléctrica","45","E.T.S. de Ingeniería","Curso 2023-24","20231006"
"3","Narrativa Audiovisual","1920024","SI","SI","","OBLIGATORIA","","","192","Grado en Comunicación Audiovisual","2","Facultad de Comunicación","Curso 2022-23","20220920"
"1","Geografía Humana","2570006","","","","TRONCAL / FORMACIÓN BÁSICA","","","257","Doble Grado en Geografía y Gestión del Territorio e Historia (2024)","4","Facultad de Geografía e Historia","",""
"5","Derecho Financiero y Tributario II","2290056","SI","SI","","OBLIGATORIA","","","229","Doble Grado en Derecho y en Finanzas y Contabilidad","20","Facultad de Derecho","Curso 2023-24","20231211"
"2","Teoría y Técnicas Audiovisuales Aplicadas al Periodismo","2430028","NO","SI","","OBLIGATORIA","","","243","Doble Grado en Periodismo y Comunicación Audiovisual (2016)","2","Facultad de Comunicación","Curso 2019-20","20200421"
"3","Programación y Gestión Televisiva y Radiofónica","2430037","NO","NO","","OBLIGATORIA","","","243","Doble Grado en Periodismo y Comunicación Audiovisual (2016)","2","Facultad de Comunicación","Curso 2019-20","20200421"
"1","Régimen Jurídico de los Recursos Turísticos","50630030","SI","SI","","OPTATIVA","","","M063","Máster Universitario en Dirección y Planificación del Turismo","7","Facultad de Turismo y Finanzas","Curso 2023-24","20240209"
"2","Taller de Arquitectura 1","2330015","SI","SI","","OBLIGATORIA","","","233","Grado en Fundamentos de Arquitectura","15","E.T.S. de Arquitectura","Curso 2022-23","20230925"
"1","Teoría Crítica de la Cultura","52070015","","","","OBLIGATORIA","","","M207","Máster Universitario en Comunicación y Cultura (2023)","2","Facultad de Comunicación","",""
"1","Arqueología Urbana","50500015","SI","SI","","OPTATIVA","","","M050","Máster Universitario en Arqueología por la U.de Sevilla y U.de Granada","4","Facultad de Geografía e Historia","Curso 2014-15","20150414"
"3","Lingüística Aplicada","1590040","SI","SI","","OPTATIVA","","","159","Grado en Filología Hispánica","16","Facultad de Filología","Curso 2012-13","N"
"1","Teoría de Grafos y Geometría Computacional","51620015","SI","SI","","OPTATIVA","","","M162","Máster Universitario en Matemáticas","17","Facultad de Matemáticas","Curso 2022-23","20200211"
"1","Procesos y Contextos Educativos","51760023","SI","SI","","OBLIGATORIA","","","M176","Doble M.U. Profesorado Educ.Secund.Oblig.y Bach, FP y EI y en Matemáticas","302","Escuela Internacional de Posgrado","Curso 2022-23","20200212"
"1","Análisis Económico Internacional","51910001","SI","SI","","OBLIGATORIA","","","M191","Doble M.U. en Ciencias del Trabajo y en Gestión y Desarrollo de los RRHH","8","Facultad de Ciencias del Trabajo","Curso 2023-24","20240125"
"3","Diseño y Pruebas I","2050048","SI","NO","","OBLIGATORIA","","","205","Grado en Ingeniería Informática-Ingeniería del Software","3","E.T.S. Ingeniería Informática","Curso 2021-22",""
"1","Técnicas de Encuestación y Muestreo","51580029","SI","SI","","OPTATIVA","","","M158","Máster Unv. en Gestión del Territorio. Instrumentos y Técnicas de Intervenc","4","Facultad de Geografía e Historia","N","N"
"1","Administración de Empresas","2060002","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","206","Grado en Ingeniería Informática-Tecnologías Informáticas","3","E.T.S. Ingeniería Informática","Curso 2021-22","N"
"2","Genética I","1530051","NO","NO","","OBLIGATORIA","","","153","Grado en Biología","5","Facultad de Biología","Curso 2023-24","20240528"
"4","Seminario de Estética","2530047","","","","OPTATIVA","","","253","Grado en Filosofía (2022)","12","Facultad de Filosofía","",""
"4","Bioinformática y Análisis Genómico","2240053","SI","SI","","OPTATIVA","","","224","Grado en Bioquímica por la Universidad de Sevilla y Universidad de Málaga","5","Facultad de Biología","Curso 2023-24","20240528"
"3","Lengua Italiana B2.2","1840055","NO","NO","","OPTATIVA","","","184","Grado en Filología Clásica","16","Facultad de Filología","N","N"
"1","Psicología del Desarrollo","2380007","SI","SI","","TRONCAL / FORMACIÓN BÁSICA","","","238","Doble Grado en Educación Primaria y Estudios Franceses","18","Facultad de Ciencias de la Educación","Curso 2021-22","20200421"
"2","Literatura Hispanoamericana II (siglos XX-XXI)","2390031","SI","SI","","OBLIGATORIA","","","239","Doble Grado en Filología Clásica y Filología Hispánica","16","Facultad de Filología","Curso 2019-20","20200525"
"1","Sistemas Neuro-Mórficos y Difusos: Aplicaciones y Casos Prácticos","50990010","SI","SI","","OPTATIVA","","","M099","Máster Unv. en Microelectrónica: Diseño y Aplicaciones de Sistemas","6","Facultad de Física","Curso 2023-24","20240425"
"1","Gestión de la Calidad","51940015","SI","SI","","OBLIGATORIA","","","M194","Doble M.U.en Ingeniería Industrial e Ing.Electrónica, Robótica y Automática","45","E.T.S. de Ingeniería","Curso 2023-24","20231006"
